# Generated on 2026-04-09T06:22:12.308Z from https://www.tofugu.com/japanese-grammar/
id	href	title	gloss
adjective-suffix-sa	https://www.tofugu.com/japanese-grammar/adjective-suffix-sa/	Adjective さ (Objective Nouns)	Adding 〜さ to an adjective turns it into a noun, and gives it the nuance that the noun is objective and measurable.
adjective-sou	https://www.tofugu.com/japanese-grammar/adjective-sou/	Adjective そう	〜そう can be added to adjectives to mark them as speculative, such as おいしそう = "looks delicious".
adjective-suffix-mi	https://www.tofugu.com/japanese-grammar/adjective-suffix-mi/	Adjective み (Subjective Nouns)	Adding 〜み to an adjective turns it into a noun with a subjective quality, like the "warmth" of a person or the "weight" of a decision.
sentences-and-clauses	https://www.tofugu.com/japanese-grammar/sentences-and-clauses/	Building Sentences and Clauses	Understanding clauses will help you to break down and understand complicated sentences in Japanese.
verb-command-form-ro	https://www.tofugu.com/japanese-grammar/verb-command-form-ro/	Command Form	Verbs in the command form express strong orders or demands. The form changes depending on the verb type, so learn more, 読め (read it)！
conjunctive-particle-node	https://www.tofugu.com/japanese-grammar/conjunctive-particle-node/	Conjunctive Particle ので	Just like the English conjunction "so," ので is a conjunctive particle that explains a reason or cause. It also contains a polite feel, a…
conjunctive-particle-noni	https://www.tofugu.com/japanese-grammar/conjunctive-particle-noni/	Conjunctive Particle のに	のに is a conjunctive particle that expresses a sense of surprise or frustration when something goes against the set expectation.
conjunctive-particle-ga-kedo	https://www.tofugu.com/japanese-grammar/conjunctive-particle-ga-kedo/	Conjunctive Particles が・けど	Conjunctive particles が and けど are often used in a similar way to the English word "but." Additionally, they can be used to link contex…
date-and-time	https://www.tofugu.com/japanese-grammar/date-and-time/	Date and Time	To give the date, you use 〜年 (year), 〜月 (month), 〜日 (day), and 〜曜日 (day of the week). To tell time, you use 〜時 (hour), 〜分 (minute), and…
first-person-pronouns	https://www.tofugu.com/japanese-grammar/first-person-pronouns/	First-Person Pronouns	First-person pronouns are words that a speaker or a writer uses when they refer to themselves, like "I" or "we" in English.
honorific-prefix-o-go	https://www.tofugu.com/japanese-grammar/honorific-prefix-o-go/	Honorific Prefix: 御〜 (お〜・ご〜)	御 (read as お, ご or おん) is an "honorific prefix" that is generally placed before nouns. It adds politeness and shows respect to the pers…
noun	https://www.tofugu.com/japanese-grammar/noun/	Nouns	Nouns are words that label the world around us and are used to identify things.
numbers-and-counters	https://www.tofugu.com/japanese-grammar/numbers-and-counters/	Numbers and Counters	Japanese has two ways to count. Numbers are followed by different counters, or 助数詞（じょすうし）, depending on the thing being counted.
particle-ka	https://www.tofugu.com/japanese-grammar/particle-ka/	Particle か	か indicates that something is unknown. It's used to form questions, indefinite pronouns, and lists of alternatives.
particle-kara	https://www.tofugu.com/japanese-grammar/particle-kara/	Particle から	から is a particle that marks the "source," such as a starting point, an origin, or a reason.
particle-ga	https://www.tofugu.com/japanese-grammar/particle-ga/	Particle が (Subject)	が marks the subject of a sentence. In other words, whatever comes before が is the person or thing that's doing whatever comes next.
particle-de	https://www.tofugu.com/japanese-grammar/particle-de/	Particle で	で specifies where or how an activity or event takes place.
particle-to	https://www.tofugu.com/japanese-grammar/particle-to/	Particle と	と is used to connect two or more words together as companions
verb-to	https://www.tofugu.com/japanese-grammar/verb-to/	Particle と (Conditional)	と can be used to show a "strong causal relationship." In other words, it shows a condition and a result that always follows.
particle-ni	https://www.tofugu.com/japanese-grammar/particle-ni/	Particle に	に is like a pin on a map. It shows where you are, where you are headed, or where you were before.
particle-ne	https://www.tofugu.com/japanese-grammar/particle-ne/	Particle ね	ね is a sentence ending particle that marks information as shared by the speaker and listener.
particle-no-nominalizer	https://www.tofugu.com/japanese-grammar/particle-no-nominalizer/	Particle の (Nominalizer)	の is a nominalizer. It turns non-nouns — things like verbs, adjectives, or clauses — into nouns.
particle-no-noun-modifier	https://www.tofugu.com/japanese-grammar/particle-no-noun-modifier/	Particle の (Noun Modifier)	の is like a label maker. It turns a noun into a label that modifies another noun.
particle-wa	https://www.tofugu.com/japanese-grammar/particle-wa/	Particle は	は marks the topic of a clause, sentence, or paragraph. It creates focus as well as a nuance of contrast with other potential topics.
particle-he	https://www.tofugu.com/japanese-grammar/particle-he/	Particle へ	へ is like an arrow that points the way to a destination or a direction.
particle-made	https://www.tofugu.com/japanese-grammar/particle-made/	Particle まで	まで is a particle that indicates the end point in space, time, and numbers.
particle-mo	https://www.tofugu.com/japanese-grammar/particle-mo/	Particle も	The particle も is similar to the English words "too" and "also." It is placed after a word to show that the word is part of a set.
particle-ya	https://www.tofugu.com/japanese-grammar/particle-ya/	Particle や	や is used to list multiple items (usually two or three) as examples. It implies that there are more items on the list that you haven't …
particle-yo	https://www.tofugu.com/japanese-grammar/particle-yo/	Particle よ	よ is a sentence-ending particle that gives an informative feel.
particle-yone	https://www.tofugu.com/japanese-grammar/particle-yone/	Particle よね	よね is a sentence-ending particle that is commonly used for confirmation.
particle-yori-than	https://www.tofugu.com/japanese-grammar/particle-yori-than/	Particle より For "Than…" In Comparison	In a comparative sentence, より is equivalent to the English word "than..."
